ADAR,ADAL,GapJunction,1,Glutamate_GJ
ADEL,ADAL,Send,1,Dopamine
ADFL,ADAL,GapJunction,1,Serotonin_GJ
ADFL,ADAL,Send,1,Serotonin
AIAL,ADAL,Send,1,Acetylcholine
ASHL,ADAL,GapJunction,1,Glutamate_GJ
ASHL,ADAL,Send,1,Glutamate
AVDR,ADAL,GapJunction,2,Glutamate_GJ
AWAL,ADAL,Send,1,Serotonin
PVPL,ADAL,Send,1,Glutamate
PVQL,ADAL,GapJunction,1,Glutamate_GJ
PVR,ADAL,Send,1,Glutamate
RMGL,ADAL,Send,1,FRMFemide
ADAL,ADAR,GapJunction,1,Glutamate_GJ
ADER,ADAR,Send,1,Dopamine
ADFR,ADAR,GapJunction,1,Serotonin_GJ
ADFR,ADAR,Send,1,Serotonin
AIAR,ADAR,Send,1,Acetylcholine
ASHR,ADAR,GapJunction,1,Glutamate_GJ
ASHR,ADAR,Send,2,Glutamate
AVDL,ADAR,GapJunction,2,Glutamate_GJ
PVQR,ADAR,GapJunction,1,Glutamate_GJ
RICL,ADAR,Send,1,Octapamine
RICR,ADAR,Send,1,Octapamine
RIMR,ADAR,Send,1,Acetylcholine_Tyramine
RMGR,ADAR,Send,1,FRMFemide
URBR,ADAR,Send,1,Acetylcholine
ADER,ADEL,Send,2,Dopamine
AINL,ADEL,GapJunction,1,Glutamate_GJ
ALA,ADEL,Send,1,Glutamate
AVKR,ADEL,GapJunction,1,FMRFamide_GJ
BDUL,ADEL,Send,3,GABA
FLPL,ADEL,Send,2,Glutamate
IL2L,ADEL,Send,2,Acetylcholine
ADEL,ADER,Send,1,Dopamine
ALNR,ADER,Send,1,Acetylcholine
AVAR,ADER,Send,1,FMRFamide
AVKL,ADER,GapJunction,1,FMRFamide_GJ
AVM,ADER,Send,1,Glutamate
BDUR,ADER,Send,1,GABA
FLPL,ADER,Send,2,Glutamate
FLPR,ADER,Send,1,Glutamate
IL2R,ADER,Send,1,Acetylcholine
ADAL,ADFL,GapJunction,1,Glutamate_GJ
ASHL,ADFL,Send,3,Glutamate
AWBL,ADFL,Send,9,Glutamate
ADAR,ADFR,GapJunction,1,Glutamate_GJ
AIAR,ADFR,GapJunction,1,Acetylcholine_GJ
AIYR,ADFR,Send,1,Acetylcholine
ASEL,ADFR,Send,1,FMRFamide
ASHR,ADFR,Send,2,Glutamate
AVHL,ADFR,Send,3,Glutamate
AWAR,ADFR,Send,3,Serotonin
AWBR,ADFR,Send,4,Glutamate
PVPR,ADFR,Send,1,Glutamate
RIH,ADFR,Send,1,Serotonin
ADLR,ADLL,GapJunction,1,FMRFamide_GJ
AVDR,ADLL,GapJunction,1,Glutamate_GJ
AVHR,ADLL,Send,1,Glutamate
CEPVL,ADLL,Send,1,Dopamine
OLQVL,ADLL,GapJunction,1,Glutamate_GJ
RMGL,ADLL,GapJunction,1,FRMFemide_GJ
SDQR,ADLL,Send,1,Acetylcholine
ADLL,ADLR,GapJunction,1,FMRFamide_GJ
AIAR,ADLR,Send,2,Acetylcholine
AVHR,ADLR,Send,2,Glutamate
AFDR,AFDL,GapJunction,1,Glutamate_GJ
AIBL,AFDL,GapJunction,1,Glutamate_GJ
AINR,AFDL,Send,4,Glutamate
ASER,AFDL,Send,1,FMRFamide
AWAL,AFDL,Send,5,Serotonin
AFDL,AFDR,GapJunction,1,Glutamate_GJ
AIBR,AFDR,GapJunction,1,Glutamate_GJ
AINL,AFDR,Send,5,Glutamate
AINR,AFDR,Send,1,Glutamate
ASER,AFDR,Send,2,FMRFamide
AWAR,AFDR,Send,7,Serotonin
RIR,AFDR,Send,1,Serotonin
ADLL,AIAL,Send,6,FMRFamide
AIAR,AIAL,GapJunction,1,Acetylcholine_GJ
AIML,AIAL,Send,5,Serotonin
AINR,AIAL,Send,2,Glutamate
AIZL,AIAL,Send,3,Glutamate
ASEL,AIAL,Send,3,FMRFamide
ASER,AIAL,Send,1,FMRFamide
ASGL,AIAL,Send,9,Glutamate
ASHL,AIAL,Send,7,Glutamate
ASIL,AIAL,GapJunction,2,Glutamate_GJ
ASIR,AIAL,Send,1,Glutamate
ASKL,AIAL,Send,11,Glutamate
AWAL,AIAL,GapJunction,1,Serotonin_GJ
AWCL,AIAL,Send,2,Glutamate
HSNL,AIAL,Send,1,Serotonin_Acetylcholine
PVQL,AIAL,Send,3,Glutamate
ADFR,AIAR,GapJunction,1,Serotonin_GJ
ADLR,AIAR,Send,10,FMRFamide
AIAL,AIAR,GapJunction,1,Acetylcholine_GJ
AIMR,AIAR,Send,5,Serotonin
AIZR,AIAR,Send,1,Glutamate
ASER,AIAR,Send,3,FMRFamide
ASGR,AIAR,Send,10,Glutamate
ASHR,AIAR,Send,10,Glutamate
ASIR,AIAR,Send,3,Glutamate
ASIR,AIAR,GapJunction,2,Glutamate_GJ
ASKR,AIAR,Send,11,Glutamate
AWAR,AIAR,GapJunction,1,Serotonin_GJ
AWCL,AIAR,Send,4,Glutamate
AWCR,AIAR,Send,1,Glutamate
PVQR,AIAR,Send,7,Glutamate
ADAL,AIBL,Send,1,Glutamate
ADAR,AIBL,Send,1,Glutamate
ADLL,AIBL,Send,7,FMRFamide
AFDL,AIBL,GapJunction,1,Glutamate_GJ
AIAL,AIBL,Send,10,Acetylcholine
AINR,AIBL,Send,2,Glutamate
AIZL,AIBL,Send,2,Glutamate
AIZR,AIBL,Send,8,Glutamate
ASEL,AIBL,Send,7,FMRFamide
ASER,AIBL,Send,2,FMRFamide
ASGL,AIBL,Send,3,Glutamate
ASHL,AIBL,Send,5,Glutamate
ASIL,AIBL,Send,1,Glutamate
ASKL,AIBL,Send,2,Glutamate
AWCL,AIBL,Send,1,Glutamate
BAGL,AIBL,Send,1,Glutamate
DVC,AIBL,GapJunction,1,GABA_GJ
DVC,AIBL,Send,1,GABA
FLPL,AIBL,Send,1,Glutamate
HSNR,AIBL,Send,1,Serotonin_Acetylcholine
PVT,AIBL,GapJunction,1,Glutamate_GJ
PVT,AIBL,Send,2,Glutamate
RIBR,AIBL,Send,1,Glutamate
RIGR,AIBL,GapJunction,3,FRMFemide_GJ
RIMR,AIBL,GapJunction,1,Acetylcholine_Tyramine_GJ
RIMR,AIBL,Send,4,Acetylcholine_Tyramine
RIVL,AIBL,GapJunction,1,GABA_GJ
SAADL,AIBL,Send,1,Acetylcholine
SAAVL,AIBL,Send,1,Acetylcholine
SDQR,AIBL,Send,2,Acetylcholine
ADAL,AIBR,Send,2,Glutamate
ADAR,AIBR,Send,1,Glutamate
ADLL,AIBR,Send,1,FMRFamide
ADLR,AIBR,Send,10,FMRFamide
AFDR,AIBR,GapJunction,1,Glutamate_GJ
AIAR,AIBR,Send,14,Acetylcholine
AIZL,AIBR,Send,8,Glutamate
AIZR,AIBR,Send,1,Glutamate
ASEL,AIBR,Send,2,FMRFamide
ASER,AIBR,Send,10,FMRFamide
ASGR,AIBR,Send,2,Glutamate
ASHR,AIBR,Send,3,Glutamate
ASIR,AIBR,Send,1,Glutamate
AWBL,AIBR,Send,1,Glutamate
AWCL,AIBR,Send,1,Glutamate
AWCR,AIBR,Send,4,Glutamate
DB1,AIBR,GapJunction,1,Acetylcholine_GJ
DVC,AIBR,GapJunction,2,GABA_GJ
DVC,AIBR,Send,3,GABA
FLPL,AIBR,Send,2,Glutamate
FLPR,AIBR,Send,1,Glutamate
HSNR,AIBR,Send,1,Serotonin_Acetylcholine
PVT,AIBR,GapJunction,1,Glutamate_GJ
PVT,AIBR,Send,4,Glutamate
RIBL,AIBR,Send,2,Glutamate
RIGL,AIBR,GapJunction,3,FRMFemide_GJ
RIML,AIBR,GapJunction,1,Acetylcholine_Tyramine_GJ
RIS,AIBR,GapJunction,1,GABA_GJ
RIVR,AIBR,GapJunction,1,GABA_GJ
RMGL,AIBR,Send,1,FRMFemide
SAADR,AIBR,Send,1,Acetylcholine
SDQL,AIBR,Send,1,Acetylcholine
VB1,AIBR,Send,1,Acetylcholine
AIAL,AIML,Send,2,Acetylcholine
ASKL,AIML,Send,2,Glutamate
SIBDR,AIML,GapJunction,1,Acetylcholine_GJ
ASKR,AIMR,Send,1,Glutamate
RMGR,AIMR,Send,1,FRMFemide
ADEL,AINL,GapJunction,1,Dopamine_GJ
AINR,AINL,GapJunction,2,Glutamate_GJ
ASGR,AINL,GapJunction,1,Glutamate_GJ
AUAR,AINL,GapJunction,1,Glutamate_GJ
AFDL,AINR,Send,1,Glutamate
AINL,AINR,GapJunction,2,Glutamate_GJ
ASGL,AINR,GapJunction,1,Glutamate_GJ
ASGL,AINR,Send,1,Glutamate
AUAL,AINR,GapJunction,1,Glutamate_GJ
AFDL,AIYL,Send,7,Glutamate
AIBL,AIYL,Send,1,Glutamate
AIYR,AIYL,GapJunction,1,Acetylcholine_GJ
ASEL,AIYL,Send,13,FMRFamide
ASER,AIYL,Send,2,FMRFamide
ASIL,AIYL,Send,2,Glutamate
AWAL,AIYL,Send,1,Serotonin
AWCL,AIYL,Send,10,Glutamate
AWCR,AIYL,Send,4,Glutamate
BAGR,AIYL,Send,1,Glutamate
RIML,AIYL,GapJunction,1,Acetylcholine_Tyramine_GJ
ADFR,AIYR,Send,1,Serotonin
AFDR,AIYR,Send,13,Glutamate
AIYL,AIYR,GapJunction,1,Acetylcholine_GJ
ASEL,AIYR,Send,6,FMRFamide
ASER,AIYR,Send,14,FMRFamide
ASGR,AIYR,Send,1,Glutamate
AUAR,AIYR,Send,1,Glutamate
AWAR,AIYR,Send,2,Serotonin
AWCR,AIYR,Send,9,Glutamate
RIMR,AIYR,GapJunction,1,Acetylcholine_Tyramine_GJ
ADFL,AIZL,Send,12,Serotonin
AIAL,AIZL,Send,1,Acetylcholine
AIYL,AIZL,Send,13,Acetylcholine
